time,start,end,count,diff
29166.790458,2613739638,2613741034,16381,1396
29166.802473,2613753063,2613754175,15931,1112
29166.814493,2613764006,2613764972,15134,966
29166.826526,2613772849,2613773721,14778,872
29166.838544,2613781071,2613781895,14201,824
29166.850564,2613788366,2613789010,13600,644
29166.862593,2613794607,2613795248,13287,641
29166.874613,2613800490,2613801121,13121,631
29166.886634,2613806122,2613806752,12972,630
29166.898664,2613812075,2613812704,13096,629
29166.910683,2613817418,2613818051,13086,633
29166.922702,2613822992,2613823618,12979,626
29166.934732,2613828635,2613829261,13092,626
29166.946750,2613834226,2613834854,13071,628
29166.958771,2613839584,2613840210,13046,626
29166.970802,2613845034,2613845660,13092,626
29166.999348,2613858392,2613859022,12983,630
29167.009872,2613863053,2613863699,13124,646
29167.021892,2613868563,2613869217,13020,654
29167.042938,2613878831,2613879457,13130,626
29167.054954,2613884450,2613885081,12991,631
29167.066976,2613890296,2613890915,12981,619
29167.079008,2613895782,2613896406,13100,624
29167.091025,2613899992,2613900608,12063,616
29167.103050,2613904059,2613904663,11881,604
29167.115073,2613908200,2613908785,11966,585
29167.127092,2613912391,2613913002,12089,611
29167.139112,2613916495,2613917104,11841,609
29167.151142,2613920586,2613921190,12082,604
29167.163160,2613924543,2613925149,9253,606
29167.175180,2613928446,2613929052,8892,606
29167.187209,2613932509,2613933093,11965,584
29167.199225,2613936462,2613937064,11935,602
29167.211243,2613940605,2613941213,8911,608
29167.223280,2613944661,2613945272,12084,611
29167.235294,2613948663,2613949265,11872,602
29167.247313,2613952501,2613953109,8848,608
29167.259348,2613956411,2613957021,9226,610
29167.269863,2613959827,2613960404,8938,577
29167.281893,2613963676,2613964259,9148,583
29167.293907,2613967531,2613968146,9252,615
29167.305932,2613971438,2613972050,8977,612
29167.317961,2613975288,2613975872,9133,584
29167.329976,2613979154,2613979763,9200,609
29167.341997,2613983088,2613983667,8862,579
29167.354028,2613986890,2613987492,9135,602
29167.366044,2613990777,2613991386,9263,609
29167.378069,2613994775,2613995356,11997,581
29167.390094,2613998692,2613999300,12068,608
29167.402114,2614002602,2614003211,9083,609
29167.414138,2614006759,2614007336,11985,577
29167.426167,2614010606,2614011191,9190,585
29167.438181,2614014477,2614015091,9299,614
29167.450213,2614018362,2614018944,8958,582
29167.462232,2614022355,2614022939,11987,584
29167.474253,2614026393,2614026994,12075,601
29167.486273,2614030224,2614030801,8911,577
29167.498305,2614034050,2614034633,9151,583
29167.510323,2614037962,2614038562,9272,600
29167.522343,2614041792,2614042375,8937,583
29167.534375,2614045614,2614046199,9197,585
29167.546390,2614049500,2614050100,9291,600
29167.558412,2614053416,2614054027,8962,611
29167.570440,2614057284,2614057867,9203,583
29167.582457,2614061126,2614061727,9182,601
29167.594474,2614065155,2614065731,11954,576
29167.606509,2614069030,2614069635,9236,605
29167.618526,2614072973,2614073574,9261,601
29167.813898,2614122812,2614123264,3855,452
29167.825920,2614126639,2614127248,11973,609
29167.837951,2614130165,2614130787,5117,622
29167.849972,2614133843,2614134458,12099,615
29167.861985,2614137810,2614138421,11803,611
29167.874017,2614141770,2614142380,12062,610
29167.886039,2614145727,2614146333,9219,606
29167.898050,2614149633,2614150215,8971,582
29167.910089,2614153438,2614154021,9234,583
29167.922105,2614157311,2614157917,9272,606
29167.934127,2614161173,2614161750,8944,577
29167.946160,2614164966,2614165549,9214,583
29167.958174,2614168821,2614169426,9265,605
29167.970192,2614172704,2614173305,8890,601
29168.018293,2614187516,2614188100,9218,584
29168.030310,2614191421,2614192030,9209,609
29168.042330,2614195294,2614195875,8941,581
29168.054363,2614199138,2614199720,9206,582
29168.066379,2614202961,2614203562,9238,601
