time,start,end,count,end-start
102.9153,44189391,44190005,9225,614
103.934238,44343596,44344184,7733,588
104.954675,44511479,44512101,9221,622
105.975118,44659781,44660373,9192,592
106.982029,44808150,44808761,6166,611
108.01449,44955122,44955733,9220,611
109.034931,45103242,45103860,9267,618
110.038839,45254278,45254895,8898,617
111.045756,45426713,45427179,3991,466
112.094759,45596583,45597168,9074,585
113.110679,45753880,45754464,8919,584
114.134138,45911647,45912242,6931,595
115.142538,46060426,46061040,9138,614
116.174998,46207711,46208322,9103,611
117.193952,46355080,46355701,7583,621
118.214393,46503557,46504172,9132,615
119.239329,46658910,46659527,9196,617
120.258276,46831419,46832035,8252,616
121.278711,46992876,46993490,9165,614
122.282632,47140424,47141039,9180,615
123.303061,47296247,47296833,8834,586
124.338535,47448182,47448799,9127,617
125.358977,47597023,47597609,8953,586
126.377909,47739472,47740061,5101,589
127.390839,47889590,47890202,12029,612
128.394755,48039458,48040075,9373,617
129.398664,48220570,48221188,12046,618
130.450655,48381795,48382405,9266,610
131.459073,48525741,48526342,8882,601
132.487028,48685778,48686378,8930,600
133.517997,48832075,48832688,5543,613
134.538427,48977945,48978558,8872,613
135.55887,49132617,49133225,8809,608
136.579303,49283013,49283626,9159,613
137.598259,49452319,49452934,8044,615
138.60066,49619536,49620148,12002,612
139.639131,49772269,49772883,12089,614
140.658065,49923700,49924307,6041,607
141.678506,50076544,50077155,8951,611
142.69444,50223405,50224017,8882,612
143.7179,50373035,50373497,4180,462
144.738329,50517626,50518241,8770,615
145.758767,50668154,50668763,9216,609
146.779212,50834387,50834994,8877,607
147.783125,50993884,50994496,8841,612
148.790042,51139589,51140172,6299,583
149.830012,51289889,51290497,6415,608
150.854967,51442612,51443232,9243,620
151.878417,51591452,51592067,8078,615
152.89885,51738188,51738770,8936,582
153.919293,51880815,51881430,9225,615
154.938222,52021880,52022487,7346,607
155.942144,52186085,52186699,7117,614
156.967089,52360155,52360736,8993,581
157.990531,52515458,52516066,8990,608
159.018488,52672744,52673347,9232,603
160.034417,52822175,52822778,9175,603
161.038334,52962648,52963231,8976,583
162.054263,53104504,53105112,7905,608
163.098753,53252521,53253103,9205,582
164.119183,53394942,53395527,8899,585
165.120091,53566088,53566708,11964,620
166.130011,53780076,53780669,6186,593
167.138429,53930829,53931440,9216,611
168.163379,54088520,54089138,8823,618
169.218387,54240892,54241474,8708,582
170.238829,54384336,54384917,8958,581
171.259274,54526232,54526812,9206,580
172.27821,54669872,54670479,7578,607
173.286622,54809894,54810477,8988,583
174.310075,54986648,54987268,6849,620
175.347043,55154452,55155059,8944,607
176.365984,55308546,55309159,5768,613
177.381919,55465521,55466140,5486,619
178.387327,55607388,55608005,9258,617
179.394245,55751854,55752470,7526,616
180.44623,55896931,55897537,7779,606
181.466673,56041027,56041608,8950,581
182.487118,56190351,56190962,8885,611
183.49102,56359670,56360280,9118,610
184.517484,56527413,56528020,8992,607
185.546936,56679277,56679886,8943,609
186.565875,56833918,56834377,4093,459
187.586324,56973838,56974419,8474,581
188.606756,57115244,57115854,8916,610
189.627187,57262604,57263216,9149,612
190.631104,57407536,57408145,8841,609
191.662068,57556706,57557310,6176,604
192.665974,57730692,57731302,5864,610
193.693931,57896530,57897139,5229,609
194.69483,58041335,58041953,9199,618
195.746835,58204080,58204693,9207,613
196.767266,58350300,58350906,9144,606
197.786222,58491828,58492411,7614,583
198.790118,58631494,58632078,6630,584
199.827094,58778672,58779279,8864,607
200.834007,58924400,58925008,9232,608
201.842434,59109521,59110129,8911,608
202.855358,59264496,59265111,8893,615
203.910361,59414341,59414944,8591,603
204.92629,59571987,59572595,6173,608
205.951249,59714071,59714680,9313,609
206.97018,59866944,59867554,7388,610
207.990617,60010228,60010836,9186,608
208.999036,60152775,60153381,9189,606
210.005962,60306770,60307352,5604,582
211.014378,60479431,60480044,8949,613
212.034818,60633195,60633778,9212,583
213.03872,60780313,60780927,9016,614
214.110264,60938649,60939261,7820,612
215.130696,61081571,61082151,8957,580
216.151148,61222008,61222589,9172,581
217.158051,61364218,61364831,6544,613
218.190528,61508991,61509572,9331,581
219.210957,61652958,61653562,9146,604
220.229896,61822829,61823429,9111,600
221.250339,61975257,61975867,7176,610
222.270773,62118891,62119497,9180,606
223.282209,62266406,62267025,7306,619
224.286108,62408726,62409311,6769,585
225.287021,62551581,62552195,9256,614
226.351032,62699234,62699843,9190,609
227.366975,62842740,62843323,9272,583
228.375394,62990241,62990820,9219,579
229.410855,63168197,63168798,8925,601
230.431302,63326127,63326730,9229,603
231.450243,63473147,63473761,7916,614
232.454138,63623852,63624457,7093,605
233.491117,63768656,63769266,8936,610
234.510045,63908792,63909392,6464,600
235.530487,64051884,64052490,9185,606
236.550939,64190304,64190909,9251,605
237.551843,64342174,64342784,8881,610
238.563257,64509346,64509951,9216,605
239.610759,64670329,64670949,9020,620
240.619167,64818783,64819368,8838,585
241.650137,64974918,64975532,7277,614
242.670572,65116332,65116931,8976,599
243.69101,65258451,65259051,8899,600
244.709949,65399362,65399962,5205,600
245.730399,65544970,65545550,9136,580
246.734307,65703454,65704068,8007,614
247.74121,65870773,65871381,8946,608
248.742124,66018510,66019113,9270,603
249.762567,66163415,66164016,9270,601
250.831091,66324700,66325299,8946,599
251.850037,66466664,66467246,6319,582
252.870465,66606268,66606868,8930,600
253.89091,66750764,66751364,8917,600
254.911341,66893894,66894494,9149,600
255.930289,67058107,67058715,7966,608
